Values,Year,Province (NUTS 2-unit) <9>,Alter unter/über 15 Jahren,Number,Annotations,Unnamed: 6
Persons in Thousand,2025,Burgenland <AT11>,Under 15 years,38.5,,
Persons in Thousand,2025,Burgenland <AT11>,15 to 24 years,26.4,,
Persons in Thousand,2025,Burgenland <AT11>,25 to 34 years,28.6,,
Persons in Thousand,2025,Burgenland <AT11>,35 to 44 years,38.0,,
Persons in Thousand,2025,Burgenland <AT11>,45 to 54 years,42.6,,
Persons in Thousand,2025,Burgenland <AT11>,55 to 64 years,50.2,,
Persons in Thousand,2025,Burgenland <AT11>,65 years and older,72.8,,
Persons in Thousand,2025,Carinthia <AT21>,Under 15 years,73.3,,
Persons in Thousand,2025,Carinthia <AT21>,15 to 24 years,52.9,,
Persons in Thousand,2025,Carinthia <AT21>,25 to 34 years,62.1,,
Persons in Thousand,2025,Carinthia <AT21>,35 to 44 years,72.2,,
Persons in Thousand,2025,Carinthia <AT21>,45 to 54 years,73.3,,
Persons in Thousand,2025,Carinthia <AT21>,55 to 64 years,92.8,,
Persons in Thousand,2025,Carinthia <AT21>,65 years and older,133.1,,
Persons in Thousand,2024,Burgenland <AT11>,Under 15 years,39.0,,
Persons in Thousand,2024,Burgenland <AT11>,15 to 24 years,26.6,,
Persons in Thousand,2024,Burgenland <AT11>,25 to 34 years,29.5,,
Persons in Thousand,2024,Burgenland <AT11>,35 to 44 years,38.2,,
Persons in Thousand,2024,Burgenland <AT11>,45 to 54 years,43.2,,
Persons in Thousand,2024,Burgenland <AT11>,55 to 64 years,50.4,,
Persons in Thousand,2024,Burgenland <AT11>,65 years and older,70.8,,
Persons in Thousand,2024,Carinthia <AT21>,Under 15 years,74.2,,
Persons in Thousand,2024,Carinthia <AT21>,15 to 24 years,53.0,,
Persons in Thousand,2024,Carinthia <AT21>,25 to 34 years,63.5,,
Persons in Thousand,2024,Carinthia <AT21>,35 to 44 years,71.7,,
Persons in Thousand,2024,Carinthia <AT21>,45 to 54 years,75.2,,
Persons in Thousand,2024,Carinthia <AT21>,55 to 64 years,92.8,,
Persons in Thousand,2024,Carinthia <AT21>,65 years and older,130.1,,
Persons in Thousand,2023,Burgenland <AT11>,Under 15 years,39.3,,
Persons in Thousand,2023,Burgenland <AT11>,15 to 24 years,26.8,,
Persons in Thousand,2023,Burgenland <AT11>,25 to 34 years,30.1,,
Persons in Thousand,2023,Burgenland <AT11>,35 to 44 years,38.4,,
Persons in Thousand,2023,Burgenland <AT11>,45 to 54 years,44.0,,
Persons in Thousand,2023,Burgenland <AT11>,55 to 64 years,50.0,,
Persons in Thousand,2023,Burgenland <AT11>,65 years and older,68.9,,
Persons in Thousand,2023,Carinthia <AT21>,Under 15 years,74.6,,
Persons in Thousand,2023,Carinthia <AT21>,15 to 24 years,53.5,,
Persons in Thousand,2023,Carinthia <AT21>,25 to 34 years,64.4,,
Persons in Thousand,2023,Carinthia <AT21>,35 to 44 years,71.2,,
Persons in Thousand,2023,Carinthia <AT21>,45 to 54 years,77.5,,
Persons in Thousand,2023,Carinthia <AT21>,55 to 64 years,92.1,,
Persons in Thousand,2023,Carinthia <AT21>,65 years and older,127.1,,
Persons in Thousand,2022,Burgenland <AT11>,Under 15 years,39.3,,
Persons in Thousand,2022,Burgenland <AT11>,15 to 24 years,26.8,,
Persons in Thousand,2022,Burgenland <AT11>,25 to 34 years,30.4,,
Persons in Thousand,2022,Burgenland <AT11>,35 to 44 years,38.1,,
Persons in Thousand,2022,Burgenland <AT11>,45 to 54 years,44.6,,
Persons in Thousand,2022,Burgenland <AT11>,55 to 64 years,49.4,,
Persons in Thousand,2022,Burgenland <AT11>,65 years and older,67.1,,
Persons in Thousand,2022,Carinthia <AT21>,Under 15 years,74.5,,
Persons in Thousand,2022,Carinthia <AT21>,15 to 24 years,53.5,,
Persons in Thousand,2022,Carinthia <AT21>,25 to 34 years,64.6,,
Persons in Thousand,2022,Carinthia <AT21>,35 to 44 years,70.3,,
Persons in Thousand,2022,Carinthia <AT21>,45 to 54 years,79.8,,
Persons in Thousand,2022,Carinthia <AT21>,55 to 64 years,91.0,,
Persons in Thousand,2022,Carinthia <AT21>,65 years and older,124.4,,
Persons in Thousand,2021,Burgenland <AT11>,Under 15 years,38.5,,
Persons in Thousand,2021,Burgenland <AT11>,15 to 24 years,26.6,,
Persons in Thousand,2021,Burgenland <AT11>,25 to 34 years,30.5,,
Persons in Thousand,2021,Burgenland <AT11>,35 to 44 years,37.8,,
Persons in Thousand,2021,Burgenland <AT11>,45 to 54 years,45.2,,
Persons in Thousand,2021,Burgenland <AT11>,55 to 64 years,48.6,,
Persons in Thousand,2021,Burgenland <AT11>,65 years and older,65.4,,
Persons in Thousand,2021,Carinthia <AT21>,Under 15 years,73.9,,
Persons in Thousand,2021,Carinthia <AT21>,15 to 24 years,53.2,,
Persons in Thousand,2021,Carinthia <AT21>,25 to 34 years,64.2,,
Persons in Thousand,2021,Carinthia <AT21>,35 to 44 years,69.1,,
Persons in Thousand,2021,Carinthia <AT21>,45 to 54 years,82.0,,
Persons in Thousand,2021,Carinthia <AT21>,55 to 64 years,90.1,,
Persons in Thousand,2021,Carinthia <AT21>,65 years and older,121.8,,
Persons in Thousand,2020,Burgenland <AT11>,Under 15 years,38.2,,
Persons in Thousand,2020,Burgenland <AT11>,15 to 24 years,26.7,,
Persons in Thousand,2020,Burgenland <AT11>,25 to 34 years,30.9,,
Persons in Thousand,2020,Burgenland <AT11>,35 to 44 years,37.5,,
Persons in Thousand,2020,Burgenland <AT11>,45 to 54 years,45.9,,
Persons in Thousand,2020,Burgenland <AT11>,55 to 64 years,47.7,,
Persons in Thousand,2020,Burgenland <AT11>,65 years and older,64.1,,
Persons in Thousand,2020,Carinthia <AT21>,Under 15 years,73.9,,
Persons in Thousand,2020,Carinthia <AT21>,15 to 24 years,53.5,,
Persons in Thousand,2020,Carinthia <AT21>,25 to 34 years,64.1,,
Persons in Thousand,2020,Carinthia <AT21>,35 to 44 years,68.4,,
Persons in Thousand,2020,Carinthia <AT21>,45 to 54 years,84.1,,
Persons in Thousand,2020,Carinthia <AT21>,55 to 64 years,88.8,,
Persons in Thousand,2020,Carinthia <AT21>,65 years and older,119.9,,
Persons in Thousand,2019,Burgenland <AT11>,Under 15 years,38.1,,
Persons in Thousand,2019,Burgenland <AT11>,15 to 24 years,26.9,,
Persons in Thousand,2019,Burgenland <AT11>,25 to 34 years,30.9,,
Persons in Thousand,2019,Burgenland <AT11>,35 to 44 years,37.5,,
Persons in Thousand,2019,Burgenland <AT11>,45 to 54 years,46.5,,
Persons in Thousand,2019,Burgenland <AT11>,55 to 64 years,46.8,,
Persons in Thousand,2019,Burgenland <AT11>,65 years and older,62.9,,
Persons in Thousand,2019,Carinthia <AT21>,Under 15 years,74.1,,
Persons in Thousand,2019,Carinthia <AT21>,15 to 24 years,54.1,,
Persons in Thousand,2019,Carinthia <AT21>,25 to 34 years,64.5,,
Persons in Thousand,2019,Carinthia <AT21>,35 to 44 years,67.8,,
Persons in Thousand,2019,Carinthia <AT21>,45 to 54 years,86.4,,
Persons in Thousand,2019,Carinthia <AT21>,55 to 64 years,86.7,,
Persons in Thousand,2019,Carinthia <AT21>,65 years and older,117.9,,
Persons in Thousand,2018,Burgenland <AT11>,Under 15 years,38.2,,
Persons in Thousand,2018,Burgenland <AT11>,15 to 24 years,27.4,,
Persons in Thousand,2018,Burgenland <AT11>,25 to 34 years,31.1,,
Persons in Thousand,2018,Burgenland <AT11>,35 to 44 years,37.8,,
Persons in Thousand,2018,Burgenland <AT11>,45 to 54 years,47.0,,
Persons in Thousand,2018,Burgenland <AT11>,55 to 64 years,45.5,,
Persons in Thousand,2018,Burgenland <AT11>,65 years and older,61.7,,
Persons in Thousand,2018,Carinthia <AT21>,Under 15 years,74.6,,
Persons in Thousand,2018,Carinthia <AT21>,15 to 24 years,55.2,,
Persons in Thousand,2018,Carinthia <AT21>,25 to 34 years,64.9,,
Persons in Thousand,2018,Carinthia <AT21>,35 to 44 years,67.7,,
Persons in Thousand,2018,Carinthia <AT21>,45 to 54 years,88.7,,
Persons in Thousand,2018,Carinthia <AT21>,55 to 64 years,84.1,,
Persons in Thousand,2018,Carinthia <AT21>,65 years and older,116.0,,
Persons in Thousand,2017,Burgenland <AT11>,Under 15 years,38.1,,
Persons in Thousand,2017,Burgenland <AT11>,15 to 24 years,28.1,,
Persons in Thousand,2017,Burgenland <AT11>,25 to 34 years,31.6,,
Persons in Thousand,2017,Burgenland <AT11>,35 to 44 years,38.1,,
Persons in Thousand,2017,Burgenland <AT11>,45 to 54 years,47.6,,
Persons in Thousand,2017,Burgenland <AT11>,55 to 64 years,44.2,,
Persons in Thousand,2017,Burgenland <AT11>,65 years and older,60.4,,
Persons in Thousand,2017,Carinthia <AT21>,Under 15 years,74.9,,
Persons in Thousand,2017,Carinthia <AT21>,15 to 24 years,57.0,,
Persons in Thousand,2017,Carinthia <AT21>,25 to 34 years,65.8,,
Persons in Thousand,2017,Carinthia <AT21>,35 to 44 years,68.1,,
Persons in Thousand,2017,Carinthia <AT21>,45 to 54 years,90.7,,
Persons in Thousand,2017,Carinthia <AT21>,55 to 64 years,81.6,,
Persons in Thousand,2017,Carinthia <AT21>,65 years and older,114.1,,
Persons in Thousand,2016,Burgenland <AT11>,Under 15 years,38.1,,
Persons in Thousand,2016,Burgenland <AT11>,15 to 24 years,28.8,,
Persons in Thousand,2016,Burgenland <AT11>,25 to 34 years,32.1,,
Persons in Thousand,2016,Burgenland <AT11>,35 to 44 years,38.6,,
Persons in Thousand,2016,Burgenland <AT11>,45 to 54 years,47.8,,
Persons in Thousand,2016,Burgenland <AT11>,55 to 64 years,43.0,,
Persons in Thousand,2016,Burgenland <AT11>,65 years and older,59.3,,
Persons in Thousand,2016,Carinthia <AT21>,Under 15 years,74.9,,
Persons in Thousand,2016,Carinthia <AT21>,15 to 24 years,58.9,,
Persons in Thousand,2016,Carinthia <AT21>,25 to 34 years,66.3,,
Persons in Thousand,2016,Carinthia <AT21>,35 to 44 years,68.9,,
Persons in Thousand,2016,Carinthia <AT21>,45 to 54 years,92.1,,
Persons in Thousand,2016,Carinthia <AT21>,55 to 64 years,79.3,,
Persons in Thousand,2016,Carinthia <AT21>,65 years and older,112.5,,
Persons in Thousand,2015,Burgenland <AT11>,Under 15 years,37.4,,
Persons in Thousand,2015,Burgenland <AT11>,15 to 24 years,29.0,,
Persons in Thousand,2015,Burgenland <AT11>,25 to 34 years,32.1,,
Persons in Thousand,2015,Burgenland <AT11>,35 to 44 years,38.8,,
Persons in Thousand,2015,Burgenland <AT11>,45 to 54 years,47.9,,
Persons in Thousand,2015,Burgenland <AT11>,55 to 64 years,42.0,,
Persons in Thousand,2015,Burgenland <AT11>,65 years and older,58.2,,
Persons in Thousand,2015,Carinthia <AT21>,Under 15 years,74.4,,
Persons in Thousand,2015,Carinthia <AT21>,15 to 24 years,59.8,,
Persons in Thousand,2015,Carinthia <AT21>,25 to 34 years,65.9,,
Persons in Thousand,2015,Carinthia <AT21>,35 to 44 years,69.7,,
Persons in Thousand,2015,Carinthia <AT21>,45 to 54 years,92.9,,
Persons in Thousand,2015,Carinthia <AT21>,55 to 64 years,77.0,,
Persons in Thousand,2015,Carinthia <AT21>,65 years and older,111.0,,
Persons in Thousand,2014,Burgenland <AT11>,Under 15 years,37.3,,
Persons in Thousand,2014,Burgenland <AT11>,15 to 24 years,29.3,,
Persons in Thousand,2014,Burgenland <AT11>,25 to 34 years,32.1,,
Persons in Thousand,2014,Burgenland <AT11>,35 to 44 years,39.3,,
Persons in Thousand,2014,Burgenland <AT11>,45 to 54 years,48.1,,
Persons in Thousand,2014,Burgenland <AT11>,55 to 64 years,41.1,,
Persons in Thousand,2014,Burgenland <AT11>,65 years and older,57.1,,
Persons in Thousand,2014,Carinthia <AT21>,Under 15 years,74.6,,
Persons in Thousand,2014,Carinthia <AT21>,15 to 24 years,60.7,,
Persons in Thousand,2014,Carinthia <AT21>,25 to 34 years,65.3,,
Persons in Thousand,2014,Carinthia <AT21>,35 to 44 years,71.4,,
Persons in Thousand,2014,Carinthia <AT21>,45 to 54 years,92.9,,
Persons in Thousand,2014,Carinthia <AT21>,55 to 64 years,74.8,,
Persons in Thousand,2014,Carinthia <AT21>,65 years and older,109.5,,
Persons in Thousand,2013,Burgenland <AT11>,Under 15 years,37.4,,
Persons in Thousand,2013,Burgenland <AT11>,15 to 24 years,29.6,,
Persons in Thousand,2013,Burgenland <AT11>,25 to 34 years,32.4,,
Persons in Thousand,2013,Burgenland <AT11>,35 to 44 years,40.2,,
Persons in Thousand,2013,Burgenland <AT11>,45 to 54 years,47.9,,
Persons in Thousand,2013,Burgenland <AT11>,55 to 64 years,40.4,,
Persons in Thousand,2013,Burgenland <AT11>,65 years and older,55.6,,
Persons in Thousand,2013,Carinthia <AT21>,Under 15 years,75.2,,
Persons in Thousand,2013,Carinthia <AT21>,15 to 24 years,61.6,,
Persons in Thousand,2013,Carinthia <AT21>,25 to 34 years,64.9,,
Persons in Thousand,2013,Carinthia <AT21>,35 to 44 years,73.8,,
Persons in Thousand,2013,Carinthia <AT21>,45 to 54 years,92.4,,
Persons in Thousand,2013,Carinthia <AT21>,55 to 64 years,73.1,,
Persons in Thousand,2013,Carinthia <AT21>,65 years and older,107.4,,
